,Optitype,HLA-HD,PHLAT,seq2HLA,arcasHLA,HLAscan,HLA*LA,kourami
Optitype,0,0.846391,0.705416,0.615193,1.091744,0.709471,0.710377,0.597628
HLA-HD,0.846391,0,0.851769,0.701611,1.214012,0.907137,0.936343,0.750726
PHLAT,0.705416,0.851769,0,0.816227,0.918449,0.84676,0.838094,0.749849
seq2HLA,0.615193,0.701611,0.816227,0,0.922969,0.870091,0.870596,0.819164
arcasHLA,1.091744,1.214012,0.918449,0.922969,0,0.742256,0.756113,0.810649
HLAscan,0.709471,0.907137,0.84676,0.870091,0.742256,0,0.554714,0.757262
HLA*LA,0.710377,0.936343,0.838094,0.870596,0.756113,0.554714,0,0.638108
kourami,0.597628,0.750726,0.749849,0.819164,0.810649,0.757262,0.638108,0
